hotel_names,location,price,score_hotels,number_rating,star_number,received_time,giveback_time,description,hotel_link,id
Granda Lake View Hotel & Apartment,"Trong khu vực
Xem bản đồ
Số 10, ngõ 43, Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội, Việt Nam, 10000
Xung quanh tiện ích công cộng
Big C Thăng Long
839 m
Chùa Láng
1.31 km
Ga Thái Hà
2.07 km
Don Chicken
640 m
Sân Bóng Ngọc Bảo
651 m
Vimeco CT4 Tower
778 m
Big C Thăng Long
839 m",521461,"9,0",90,3,No value,No value,"Lưu trú tại Granda Lake View Hotel & Apartment là một lựa chọn đúng đắn khi quý khách đến thăm Phường Trung Hòa. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của nơi nghỉ cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000001152455.Granda%20Lake%20View%20Hotel%20%26%20Apartment.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=4b204b99-9680-47b7-8a54-6b8ee1c8cb81,1
Ha Noi Le Grand Hotel,"Trong khu vực
Xem bản đồ
3 B9 Đầm Trấu, Bạch Đằng, Quận Hai Bà Trưng, Hà Nội, Việt Nam, 11600
Gần khu mua sắm
Hồ Hoàn Kiếm
2.32 km
Nhà thờ Lớn Hà Nội
2.54 km
Ga Hà Nội
2.88 km
Bệnh viện Hữu Nghị Việt Xô
556 m
Hai Ba Trung Shrine
1.01 km
Hồ Thanh Nhàn
1.03 km
Bệnh viện Thanh Nhàn
1.12 km",362727,"8,5",939,3,No value,No value,"Ha Noi Le Grand Hotel toạ lạc tại khu vực / thành phố Bạch Đằng. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000001072104.Ha%20Noi%20Le%20Grand%20Hotel.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=adb2b670-93ff-497d-b61b-e5c577252899,2
Lotus Village Hotel Hanoi,"Trong khu vực
Xem bản đồ
68 Hàng Bồ, Hàng Bồ, Quận Hoàn Kiếm, Hà Nội, Việt Nam, 100000
Khu mua sắm
Nhà thờ Lớn Hà Nội
589 m
Phố Đường Tàu Hà Nội
647 m
Hồ Hoàn Kiếm
693 m
Phố Cổ
209 m
Cộng Cà Phê
235 m
Phố Hàng Gai
270 m
King Pirates Pub
302 m",478925,"8,2",173,3,No value,No value,"Lưu ý: khách sạn trước đây mang tên Lotus Village Hotel Lotus Village Hotel Hanoi toạ lạc tại khu vực / thành phố Hàng Bồ. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.1000000709562.Lotus%20Village%20Hotel%20Hanoi.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=2c6ce830-da2e-4e22-8a37-8fa0624d89ed,3
Nature Hotel - Lac Long Quan,"Trong khu vực
Xem bản đồ
Số 533 đường Lạc Long Quân, phường Bưởi, quận Tây Hồ,
Hà Nội, Tây Hồ, Hà Nội, Việt Nam, 120000
Bệnh Viện Đa Khoa Quốc Tế Thu Cúc
2.01 km
Hồ Tây
2.04 km
Đường Lạc Long Quân Hà Nội
201 m
Bệnh Viện Tim Hà Nội - Cơ Sở 2
648 m
Westlake's Twin Dragons
713 m
G2 Ciputra Hanoi Apartment
953 m
Công viên nước Hồ Tây
1.37 km",662487,"8,7",17,4,No value,No value,"Nature Hotel - Lac Long Quan toạ lạc tại khu vực / thành phố Tây Hồ. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000007484559.Nature%20Hotel%20-%20Lac%20Long%20Quan.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=410c23d4-8791-4809-878f-edef8bbe2d19,4
Granda Suites Hanoi,"Trong khu vực
Xem bản đồ
Số 16, phố Dịch Vọng Hậu, Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội, Việt Nam, 100000
Xung quanh tiện ích công cộng
Bến Xe Mỹ Đình
1.36 km
Chùa Láng
1.84 km
Big C Thăng Long
2.85 km
National University
630 m
Chùa Hà
698 m
Đại học Quốc gia Hà Nội
784 m
Bệnh Viện 19 - 8 Bộ Công An
950 m",516880,"8,7",160,3,No value,No value,"Granda Suites Hanoi là một nơi nghỉ nằm trong khu vực an ninh, toạ lạc tại Dịch Vọng Hậu. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của nơi nghỉ cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.3000020015251.Granda%20Suites%20Hanoi.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=59b82303-70be-4e78-89e6-0191edb2cc1e,5
Crescendo Urban Stay,"Trong khu vực
Xem bản đồ
Số 339 đường Âu Cơ, Nhật Tân, Tây Hồ, Hà Nội, Việt Nam, 100000
Gần khu vui chơi giải trí
Bệnh Viện Tim Hà Nội - Cơ Sở 2
1.80 km
Hồ Tây
2.36 km
Thung lũng hoa hồ Tây
527 m
Vuon Hoa Phuong Linh
723 m
Công viên nước Hồ Tây
744 m
Chợ hoa Quảng Bá
852 m
Nhà Hàng Sen Tây Hồ
914 m",474956,"8,6",114,3,No value,No value,"Crescendo Urban Stay toạ lạc tại khu vực / thành phố Nhật Tân. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của nơi nghỉ cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000002446773.Crescendo%20Urban%20Stay.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=b57609c8-00e0-4157-9e42-578a1e7d9655,6
Le Grand Hanoi Hotel - The Central Park,"Trong khu vực
Xem bản đồ
23 Nguyễn Đình Chiểu, Nguyễn Du, Nguyễn Du, Quận Hai Bà Trưng, Hà Nội, Việt Nam, 10000
Xung quanh trung tâm giải trí
Nhà thờ Lớn Hà Nội
1.45 km
Hồ Hoàn Kiếm
1.52 km
Phố Đường Tàu Hà Nội
1.64 km
Tượng đài Công an Nhân dân vì dân phục vụ
163 m
Đường Bà Triệu Hà Nội
261 m
Công viên Thống Nhất
367 m
CGV Vincom Center Bà Triệu
549 m",628222,"9,0",43,3,No value,No value,"Le Grand Hanoi Hotel - The Central Park toạ lạc tại khu vực / thành phố Nguyễn Du. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000003314202.Le%20Grand%20Hanoi%20Hotel%20-%20The%20Central%20Park.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=95331986-0d98-4027-a9d0-8ac25a934879,7
3T Hotel Hanoi,"Trong khu vực
Xem bản đồ
41 Nguyen Thai Hoc, Quận Ba Đình, Hà Nội, Việt Nam
Xung quanh trung tâm giải trí
Phố Đường Tàu Hà Nội
336 m
Nhà thờ Lớn Hà Nội
805 m
Hồ Hoàn Kiếm
1.15 km
Đại Sứ Quán Đức
206 m
Phố Đường Tàu Hà Nội
336 m
Tượng Lenin
364 m
Viện Goethe Hà Nội
376 m",761905,"9,1",728,3,No value,No value,"Lưu trú tại 3T Hotel Hanoi là một lựa chọn đúng đắn khi quý khách đến thăm Quận Ba Đình. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000000973982.3T%20Hotel%20Hanoi.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=a106ba53-faee-441a-bcf3-ceee3df4dc86,8
Hotel A89 - Near My Dinh Stadium,"Trong khu vực
Xem bản đồ
Số 7, Ngõ 89 Lê Đức Thọ, Quận Nam Từ Liêm, Mỹ Đình 2, Nam Từ Liêm, Hà Nội, Việt Nam, 12014
Gần khu vui chơi giải trí
Bến Xe Mỹ Đình
628 m
Keangnam Landmark Tower 72
1.96 km
Bảo tàng Hà Nội
2.72 km
Bến Xe Mỹ Đình
628 m
Ga Lê Đức Thọ
1.10 km
Sân vận động Quốc gia Mỹ Đình
1.11 km
Trường Đại học Thương mại
1.11 km",437445,"9,7",5,3,No value,No value,"Lưu ý: khách sạn trước đây mang tên Hotel A89 Lưu trú tại Hotel A89 - Near My Dinh Stadium là một lựa chọn đúng đắn khi quý khách đến thăm Mỹ Đình 2. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.9000003361649.Hotel%20A89%20-%20Near%20My%20Dinh%20Stadium.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=daa41113-3c0c-4571-b5fe-e4452d496f41,9
Classy Boutique Hotel,"Trong khu vực
Xem bản đồ
21 Hàng Cá, Hàng Đào, Quận Hoàn Kiếm, Hà Nội, Việt Nam, 101113
Khu mua sắm
Nhà thờ Lớn Hà Nội
824 m
Phố Đường Tàu Hà Nội
830 m
Hồ Hoàn Kiếm
897 m
Masjid Al Noor Hanoi
244 m
Chợ Đồng Xuân
249 m
King Pirates Pub
261 m
Đền Bạch Mã
261 m",888312,"9,4",2,4,No value,No value,"Lưu trú tại Classy Boutique Hotel là một lựa chọn đúng đắn khi quý khách đến thăm Hàng Đào. Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của khách sạn cho phép quý khách luôn kết nối với gia đình và bè bạn.
Xem thêm",https://www.traveloka.com/vi-vn/hotel/detail?spec=04-12-2025.05-12-2025.1.1.HOTEL.1000000399730.Classy%20Boutique%20Hotel.1&loginPromo=1&prevSearchId=1850567916533079521&iuid=93b71d99-393b-4dc0-9e43-38c59a93f7be,10
